id,user_name,type_action,type_search,mode_vector,len_vector,mean_time,std_time,mean_compare,std_compare
20,aline,remove,LinearSearch,Arranjos Ordenados (ASC),100,7.75080999996014e-06,3.621775257238364e-06,1.0,0.0
21,aline,remove,LinearSearch,Arranjos Quase Ordenados,100,9.285900000017832e-06,6.941870109425882e-06,1.0,0.0
22,aline,insert,LinearSearch,Arranjos Ordenados (DESC),100000,4.341636580000568e-06,0.0005704628917735325,0.0,0.0
23,aline,insert,LinearSearch,Arranjos Quase Ordenados,100000,4.447738630000617e-06,0.0006544405168130029,0.0,0.0
24,aline,insert,LinearSearch,Arranjos Quase Ordenados,1000,1.1038540000025688e-06,1.8640065576983124e-06,0.0,0.0
25,aline,remove,LinearSearch,Arranjos Desordenados,1000,0.0012482344639999994,0.01988836109037145,1.0,0.0
26,aline,insert,LinearSearch,Arranjos Desordenados,100000,4.838844310000198e-06,0.0009857486317745201,0.0,0.0
27,aline,search,LinearSearch,Arranjos Ordenados (DESC),100,3.5014599999616536e-06,4.8175117984107905e-06,50.5,29.011491975882016
28,aline,remove,LinearSearch,Arranjos Desordenados,100,6.325140000047469e-06,4.973588912144572e-06,1.0,0.0
29,aline,search,LinearSearch,Arranjos Quase Ordenados,1000,0.0002372487850000411,0.00628034587837898,500.5,288.8194360957494
30,aline,remove,LinearSearch,Arranjos Ordenados (DESC),100,5.544409999895805e-06,3.5977430018916715e-06,1.0,0.0
31,aline,search,LinearSearch,Arranjos Ordenados (DESC),1000,0.00014559178099999713,0.0027203777703122523,500.5,288.8194360957494
32,aline,insert,LinearSearch,Arranjos Ordenados (ASC),10000,9.676947000001545e-07,1.6255485575962674e-06,0.0,0.0
33,aline,search,LinearSearch,Arranjos Desordenados,10,2.3489500000017926e-05,6.37150001671171e-05,5.5,3.0276503540974917
34,aline,search,LinearSearch,Arranjos Ordenados (DESC),10,9.437400000056328e-06,1.3084598946905705e-05,5.5,3.0276503540974917
35,aline,remove,LinearSearch,Arranjos Quase Ordenados,1000,0.0011219922470000069,0.016278099283620548,1.0,0.0
36,aline,insert,LinearSearch,Arranjos Ordenados (ASC),100000,2.030132504999859e-05,0.0033460259971712356,0.0,0.0
37,aline,remove,LinearSearch,Arranjos Desordenados,10,4.747799999904601e-06,5.9402183050358804e-06,1.0,0.0
38,aline,remove,LinearSearch,Arranjos Quase Ordenados,10,5.299399999891818e-06,7.831135666436234e-06,1.0,0.0
39,aline,remove,LinearSearch,Arranjos Ordenados (DESC),1000,0.0010626751080000183,0.02249134539648287,1.0,0.0
40,aline,insert,LinearSearch,Arranjos Ordenados (ASC),1000,3.5055340000031965e-06,9.197124864905377e-06,0.0,0.0
41,aline,remove,LinearSearch,Arranjos Ordenados (DESC),10,7.2063999997595826e-06,1.1886373928562784e-05,1.0,0.0
42,aline,search,LinearSearch,Arranjos Ordenados (ASC),1000,0.0006176264250000329,0.014921509364378137,500.5,288.8194360957494
43,aline,remove,LinearSearch,Arranjos Ordenados (ASC),1000,0.0023067943999999867,0.04831806752706009,1.0,0.0
44,aline,search,LinearSearch,Arranjos Desordenados,10000,0.0033596542680000008,0.050321456347819156,5000.5,2886.8956799071675
45,aline,search,LinearSearch,Arranjos Quase Ordenados,10000,0.003915808636100008,0.05414254680052678,5000.5,2886.8956799071675
46,aline,search,LinearSearch,Arranjos Ordenados (DESC),10000,0.004243269313299996,0.055191868667960775,5000.5,2886.8956799071675
47,aline,search,LinearSearch,Arranjos Ordenados (ASC),10000,0.003917949104699979,0.05929548473599578,5000.5,2886.8956799071675
48,aline,insert,LinearSearch,Arranjos Quase Ordenados,1000000,1.2351547308000364e-05,0.0020432881056142707,0.0,0.0
49,aline,insert,LinearSearch,Arranjos Ordenados (ASC),1000000,7.6239497620023216e-06,0.001661130949808992,0.0,0.0
50,aline,insert,LinearSearch,Arranjos Desordenados,1000000,8.033774285999482e-06,0.001562497004479656,0.0,0.0
51,aline,insert,LinearSearch,Arranjos Ordenados (DESC),1000000,1.0091694242000163e-05,0.001606739249591281,0.0,0.0
52,aline,remove,LinearSearch,Arranjos Ordenados (ASC),10000,0.008176194380900075,0.06890820478335798,1.0,0.0
53,aline,remove,LinearSearch,Arranjos Quase Ordenados,10000,0.009263747325000089,0.08261931748843658,1.0,0.0
54,aline,remove,LinearSearch,Arranjos Desordenados,10000,0.010045634101199971,0.07670624427079277,1.0,0.0
55,aline,remove,LinearSearch,Arranjos Ordenados (DESC),10000,0.009541813222800146,0.0737372608001227,1.0,0.0
56,aline,search,LinearSearch,Arranjos Quase Ordenados,100000,0.024989231338110207,0.13103060272507186,50000.5,28867.65779668774
57,aline,search,LinearSearch,Arranjos Ordenados (ASC),100000,0.02631231957300021,0.1370819409982578,50000.5,28867.65779668774
58,aline,search,LinearSearch,Arranjos Ordenados (DESC),100000,0.027207058729500706,0.13950227216248132,50000.5,28867.65779668774
59,aline,search,LinearSearch,Arranjos Desordenados,100000,0.037597642522359816,0.16332379722086032,50000.5,28867.65779668774
